PLANILLA DE DECRETOS POR PROGRAMA PERIODO 2021;;;;;;;;;;;;;;;;;;;;;
Estados de Decretos: Totalmente tramitados al 31-12;;;;;;;;;;;;;;;;;;;;;
Moneda Nacional - Miles de pesos;;;;;;;;;;;;;;;;;;;;;
260201 PROGRAMA: INSTITUTO NACIONAL DE DEPORTES;;;;;;;;;;;;;;;;;;;;;
;;;DECRETOS;LEY INICIAL;N°34;N°490;N°471;N°760;N°941;N°962;N°1030;N°1603;N°1602;N°2314;N°2372;N°2374;N° 2592;N°2623;N°2661;N°2780;VIGENTE
10;;;VENTA DE ACTIVOS NO FINANCIEROS;9.483;;;;;;;;;;;;;;;;;9.483
;03;;Vehículos;9.483;;;;;;;;;;;;;;;;;9.483
12;;;RECUPERACION DE PRESTAMOS;1.068.349;-;-;-;-;-;-;-;-;-;;-;-;;-;-;-;1.068.349
;10;;Ingresos por Percibir;1.068.349;;;;;;;;;;;;;;;;;1.068.349
13;;;TRANSFERENCIAS PARA GASTOS DE CAPITAL;8.643.886;-8.643.886;-;-;-;-;-;-;-;-;;-;-;;-;-;-;-
;02;;Del Gobierno Central;8.643.886;-8.643.886;-;-;-;-;-;-;-;-;;-;-;;-;-;-;-
;;200;Fondo de Emergencia Transitorio;8.643.886;-8.643.886;;;;;;;;;;;;;;;;-
15;;;SALDO INICIAL DE CAJA;1.000;;;6.214.146;;336.777;158.888;;;;;;;;;;;6.710.811
;ITEM;ASIG;GASTOS TOTALES;143.045.920;-8.643.886;-;6.214.146;-;-;;;34.027;-;;-1.840.633;;;-4.894.253;406.743;-6.500.000;129.552.031
21;;;GASTOS EN PERSONAL;23.395.750;;;;;;;23.445;;;2.889;;1.703.633;204.307;;;;25.330.024
22;;;BIENES Y SERVICIOS DE CONSUMO;3.049.733;;;;;;;;;;;;;;;;;3.049.733
23;;;PRESTACIONES DE SEGURIDAD SOCIAL;-;-;-;-;-;-;-;-;321.764;-;;-;-;-;222.615;-;-;544.379
;01;;Prestaciones Previsionales;-;;;;;;;;50.532;;;;;;16.244;;;66.776
;03;;Prestaciones Sociales del Empleador;-;;;;;;;;271.232;;;;;;206.371;;;477.603
24;;;TRANSFERENCIAS CORRIENTES;66.049.052;-;-;-;-10.500;-;-;-;-240.746;-;;-;-;-204.307;-674.735;-;-;64.918.764
;01;;AL SECTOR PRIVADO;52.643.085;-;309.800;-;-10.500;-;-;-;453.254;-;;-;-;-204.307;-500.000;-;-;52.691.332
;;337;FORTALECIMIENTO DEL DEPORTE DE RENDIMIENTO CONVENCIONAL Y PARALÍMPICO;20.721.872;;;;;;;;;;;;;;-200.000;;;20.521.872
;;338;ART 5° LETRA E) D.L. 1.298 Y LEY 19.135;6.588;;;;;;;;;;;;;;;;;6.588
;;340;ART 1° LEY 19.135 COCH;290.321;;;;;;;;;;;;;;;;;290.321
;;341;ART 1° LEY FED. D. NACIONAL;1.887.086;;;;;;;;;;;;;;;;;1.887.086
;;345;ART. ÚNICO LEY N° 19.909;185.452;;;;;;;;;;;;;;;;;185.452
;;354;ADO- CHILE;557.515;;;;;;;;;;;;;;;;;557.515
;;359;SISTEMA NACIONAL DE COMPETENCIAS DEPORTIVAS;7.577.967;;;;;;;;-3.202.546;;;;;;;;;4.375.421
;;361;PROGRAMA DE NORMALIZACIÓN DE INFRAESTRUCTURA DEPORTIVA;857.686;;309.800;;;;;;;;;;;-109.000;;;;1.058.486
;;362;CRECER EN MOVIMIENTO;120.599;;;;;;;;;;;;;;;;;120.599
;;365;SISTEMA NACIONAL DE CAPACITACIÓN Y ACREDITACIÓN DEPORTIVA;393.159;;;;92.683;;;;;;;;;;;;;485.842
;;368;GESTION DE RECINTOS DEPORTIVOS;8.550.722;;;;-103.183;;;;;;;;;-95.307;;;;8.352.232
;;381;ASISTENCIA A LA CARRERA DEPORTIVA;4.875.847;;;;;;;;-250.000;;;;;;-300.000;;;4.325.847
;;382;JUEGOS PANAMERICANOS  Y PARAPANAMERICANOS 2023;6.453.565;;;;;;;;3.905.800;;;;;;;;;10.359.365
;;383;COPACHI;164.706;;;;;;;;;;;;;;;;;164.706
;03;;A OTRAS ENTIDADES PÚBLICAS;13.405.967;-;-309.800;-;-;-;-;-;-694.000;-;;-;-;;-174.735;-;-;12.227.432
;;057;DEPORTE DE PARTICIPACIÓN PÚBLICO;6.084.691;;-309.800;;;;;;-55.000;;;;;;-136.307;;;5.583.584
;;058;PROGRAMA SANEAMIENTO DE TITULOS DE PROPIEDAD DEPORTIVA;186.363;;;;;;;;;;;;;;;;;186.363
;;061;CRECER EN MOVIMIENTO;7.134.913;;;;;;;;-639.000;;;;;;-38.428;;;6.457.485
25;;;INTEGROS AL FISCO;350.265;-;-;-;-;-;-;-;-200.940;-;;-;-;-;-;406.743;-;556.068
;01;;Impuestos;350.265;;;;;;;;-200.940;;;;;;;;;149.325
;;;Otros Integros al fisco;;;;;;;;;;;;;;;;406.743;;406.743
26;;;OTROS GASTOS CORRIENTES;-;-;-;-;-;-;-;-;153.949;-;;-;-;;18.472;-;-;172.421
;02;;Compensac. por Daños a Terceros y/o a la Propiedad;;;;;;;;;153.949;;;;;;18.472;;;172.421
29;;;ADQUISICION DE ACTIVOS NO FINANCIEROS;390.785;-;-;-;10.500;-;-;-;-;-;;-;-;;-;-;-;401.285
;03;;Vehículos;;;;;;;;;;;;;;;;;;-
;04;;Mobiliario y Otros;1.516;;;;;;;;;;;;;;;;;1.516
;05;;Máquinas y Equipos;307;;;;10.500;;;;;;;;;;;;;10.807
;06;;Equipos Informáticos;38.271;;;;;;;;;;;;;;;;;38.271
;07;;Programas Informáticos;350.691;;;;;;;;;;;;;;;;;350.691
;99;;Otros Activos Financieros;-;;;;;;;;;;;;;;;;;-
30;;;ADQUISICION DE ACTIVOS FINANCIEROS;8.643.886;-8.643.886;-;-;-;-;-;-;-;-;;-;-;;-;-;-;-
;10;;Fondo de Emergencia Transitorio;8.643.886;-8.643.886;;;;;;;;;;;;;;;;-
31;;;INICIATIVAS DE INVERSION;30.525.871;-;-;-;-;-;-;-;-;-6.500.000;;-1.840.633;-;;-4.460.605;-;-;17.724.633
;02;;Proyectos;30.525.871;;;;;;;;;-6.500.000;;-1.840.633;;;-4.460.605;;;17.724.633
32;;;PRESTAMOS;-;;;;;;;;;;;;;;;;;-
;06;;Anticipo a Contratistas;-;;;;;;;;;;;;;;;;;-
;;001;Anticipo a Contratistas;;;;;;;;;;;;;;;;;;-
;;002;Recuperación Anticipo a Contratistas;;;;;;;;;;;;;;;;;;-
33;;;TRANSFERENCIAS DE CAPITAL;10.639.578;-;-;-;-;-;-;-;-;6.500.000;;-;-;;-;-;-6.500.000;10.639.578
;01;;Al Sector Privado;-;-;-;-;-;-;-;-;-;6.500.000;;-;-;;-;-;-6.500.000;-
;;001;Aportes para el Sector Privado;;;;;;;;;;6.500.000;;;;;;;-6.500.000;-
;03;;A Otras Entidades Públicas;10.639.578;-;-;-;-;-;-;-;-;-;;-;-;;-;-;-;10.639.578
;;002;Aportes para Inv. en Infraest. Dep.;10.639.578;;;;;;;;;;;;;;;;;10.639.578
34;;;SERVICIO DE LA DEUDA;1.000;-;-;6.214.146;-;-;-;-;-;-;;-;-;;-;-;-;6.215.146
;07;;Deuda Flotante;1.000;;;6.214.146;;;;;;;;;;;;;;6.215.146
35;;;SALDO FINAL DE CAJA;-;;;;;;;;;;;;;;;;;-
SUBT;TOTAL INGRESOS;143.045.920;-8.643.886;-               6.214.146                               -;-23.445;34.027;-2.889;-1.840.633;1.703.633;-4.894.253;406.743;-6.500.000;129.552.031;;;;;;;;
SUBT;TOTAL GASTOS;143.045.920;23.445;2.889;1.703.633                               -;129.552.031;;;;;;;;;;;;;;;
